代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
6462,神盾,143,-3.5,146,146.5,142,143.56,"955,108","137,117,948",839,142.5,50,143,6,"71,375,754",143,157,129
6465,威潤,29.9,-0.05,29.95,29.95,29.4,29.75,"42,230","1,256,432",43,29.45,6,29.95,2,"32,974,301",29.9,32.85,26.95
6469,大樹,95.5,1,95,95.6,94.5,94.98,"49,551","4,706,448",78,95.3,1,95.5,2,"53,344,593",95.5,105,86
6470,宇智,50.1,-0.7,50.4,50.8,50.1,50.34,"150,017","7,551,573",119,50.1,3,50.5,1,"32,694,100",50.1,55.1,45.1
6472,保瑞,177,2,174,177.5,174,175.63,"242,311","42,557,180",298,176.5,3,177,11,"54,115,424",177,194.5,159.5
6482,弘煜科,36.55,3.3,36.55,36.55,36.55,36.55,"17,604","643,422",21,36.55,187,0,0,"17,148,440",36.55,40.2,32.9
6485,點序,61.4,5.5,54.8,61.4,54.4,59.59,"7,739,250","461,168,186","3,370",61.4,6467,0,0,"39,383,508",61.4,67.5,55.3
6486,互動,78.6,-0.4,79,80,78.4,78.82,"68,263","5,380,777",63,78.6,11,78.8,3,"37,717,773",78.6,86.4,70.8
6488,環球晶,634,-17,660,660,634,641.67,"3,380,996","2,169,481,382","3,584",634,1,635,1,"437,250,000",634,697,571
6492,生華科,186,3,185,190,180.5,184.8,"979,215","180,963,574","1,019",185.5,6,186,6,"89,658,120",186,204.5,167.5
6494,九齊,57.1,0.4,56.7,57.9,56.5,57.09,"388,280","22,168,416",237,57,23,57.2,1,"31,559,690",57.1,62.8,51.4
6496,科懋,26.9,0.25,26.95,26.95,26.75,26.89,"27,178","730,744",153,26.85,1,26.9,14,"46,667,000",26.9,29.55,24.25
6499,益安,54,3.6,51.2,54.8,50.5,51.5,"121,352","6,249,453",95,53.1,2,54,2,"66,503,159",54,59.4,48.6
6506,雙邦,15.9,0,15.9,15.9,15.8,15.86,"7,422","117,732",13,15.8,8,15.85,1,"82,360,826",15.9,17.45,14.35
6508,惠光,29.6,0.2,29.45,29.6,29.4,29.41,"236,496","6,955,226",65,29.4,31,29.6,1,"85,297,029",29.6,32.55,26.65
6509,聚和,24.8,-0.25,24.9,25,24.6,24.78,"1,330,900","32,975,812",634,24.8,24,24.85,35,"173,204,101",24.8,27.25,22.35
6510,精測,900,-5,920,924,893,905.42,"509,690","461,482,506",599,899,1,900,5,"32,789,022",900,990,810
6512,啟發電,13.95,-0.25,14.1,14.2,13.95,14.06,"22,099","310,740",41,13.9,2,14.2,2,"25,000,000",13.95,15.3,12.6
6514,芮特-KY,42.95,0,43,43.05,42.9,42.99,"17,001","730,892",18,42.95,5,43.3,1,"30,015,382",42.95,47.2,38.7
6516,勤崴國際,79.8,-0.2,80,80.7,79.1,79.57,"29,052","2,311,568",33,79.3,3,79.8,3,"38,589,829",79.8,87.7,71.9
6523,達爾膚,65.1,0.4,65.2,65.5,64.7,65.19,"54,526","3,554,412",45,65.1,3,65.2,3,"45,047,625",65.1,71.6,58.6
6527,明達醫,48.65,0.6,48.45,48.85,48.45,48.62,"5,000","243,100",5,48.25,1,48.7,3,"24,276,000",48.65,53.5,43.8
6530,創威,18.3,0.15,18.15,18.3,18.15,18.22,"15,000","273,300",10,18.15,5,18.3,5,"33,750,000",18.3,20.1,16.5
6532,瑞耘,52.8,-0.3,53.6,53.6,52.5,52.85,"248,709","13,144,511",215,52.8,11,52.9,17,"36,082,350",52.8,58,47.55
6535,順藥,34.05,-0.25,34.5,34.5,33.8,34.11,"179,191","6,111,944",120,34,1,34.3,2,"147,374,825",34.05,37.45,30.65
6538,倉和,155,-1,156.5,158,153.5,155.29,"266,634","41,404,491",266,154.5,13,155.5,6,"37,269,000",155,170.5,139.5
6542,隆中,72.4,-1.9,74.5,74.5,72.2,72.78,"82,620","6,012,954",82,72.3,2,72.5,2,"42,000,630",72.4,79.6,65.2
6547,高端疫苗,148.5,13.5,137,148.5,132.5,143.25,"14,487,821","2,075,418,311","10,661",148,30,148.5,1138,"211,460,750",148.5,163,134
6548,長科*,64.8,-0.2,64.9,66.5,64.4,65.17,"3,442,452","224,345,674","1,839",64.8,17,64.9,9,"364,131,050",64.8,71.2,58.4
6556,勝品,41.9,0,41.9,41.9,41.9,41.9,"1,000","41,900",1,41.5,1,42.45,1,"28,750,000",41.9,46.05,37.75
6560,欣普羅,86,0.8,86.9,86.9,84.5,85.58,"124,330","10,639,560",103,85.9,3,86,21,"17,492,846",86,94.6,77.4
6561,是方,296.5,-2.5,299,299,296,297.08,"100,067","29,728,103",73,296.5,13,298,2,"70,245,881",296.5,326,267
6568,宏觀,138,1.5,137,139.5,137,138.73,"31,008","4,301,596",29,138,2,139,4,"25,714,100",138,151.5,124.5
6569,醫揚,126.5,1,125.5,126.5,125,125.85,"10,503","1,321,819",20,125.5,2,127,2,"27,510,273",126.5,139,114
6570,維田,28.1,0,28.1,28.1,28.1,28.1,"4,015","112,821",4,27.75,1,28.45,1,"30,086,177",28.1,30.9,25.3
6574,霈方, ---,--- ,---,---,---,55.7,0,0,0,54.5,1,56.3,1,"21,990,000",56.3,61.9,50.7
6576,逸達,85,2,82.5,86.2,82.3,84.15,"484,961","40,811,211",449,84.9,3,85,2,"116,936,635",85,93.5,76.5
6577,勁豐,62.8,0.1,62.7,63.2,62.7,62.81,"41,000","2,575,400",34,62.8,2,63.1,2,"38,254,870",62.8,69,56.6
6578,達邦蛋白,20.8,0,20.8,20.8,20.6,20.7,"30,000","620,900",23,20.7,1,20.85,6,"30,131,411",20.8,22.85,18.75
6588,東典光電,63.8,-0.1,64,64,63.5,63.76,"26,051","1,660,969",27,63.7,2,64,7,"26,700,825",63.8,70.1,57.5
6589,台康生技,48,1.5,46.5,50.8,45.35,48.39,"19,052,910","922,032,975","11,966",47.9,15,48,37,"206,375,125",48,52.8,43.2
6590,普鴻,49.8,0.1,50,50,49.75,49.86,"5,000","249,300",5,49.9,1,50,11,"18,291,250",49.8,54.7,44.85
6593,台灣銘板,25,0.05,24.6,25,24.6,24.73,"13,649","337,552",92,24.7,1,24.95,1,"20,170,901",25,27.5,22.5
6594,展匯科,27.95,-0.05,28,28,27.55,27.79,"15,046","418,088",13,27.55,3,28,4,"20,506,800",27.95,30.7,25.2
6596,寬宏藝術,49,-0.15,49.2,49.75,49,49.26,"27,533","1,356,363",45,49,3,49.2,2,"30,000,000",49,53.9,44.1
6603,富強鑫,12.15,-0.15,12.5,12.5,12.1,12.24,"735,836","9,006,165",293,12.15,15,12.2,4,"148,708,517",12.15,13.35,10.95
6609,瀧澤科,25.25,0.1,25.3,25.35,25.2,25.26,"42,090","1,063,203",31,25.25,12,25.35,7,"72,456,246",25.25,27.75,22.75
6612,奈米醫材,60.4,-0.2,60.5,61.6,60.3,60.59,"24,210","1,466,801",27,60.3,1,60.7,1,"33,969,900",60.4,66.4,54.4
6613,朋億,137,0.5,137,137,136.5,136.75,"12,000","1,641,000",12,136.5,3,137.5,3,"33,928,000",137,150.5,123.5
6615,慧智,50,0,50,50,49.4,49.73,"12,000","596,750",12,49.5,1,50,1,"21,261,600",50,55,45
6616,特昇-KY,28,0,28.1,28.45,27.5,28.03,"6,000","168,200",6,27.85,1,28,1,"23,625,000",28,30.8,25.2
6624,萬年清,30.1,-0.1,30,30.1,30,30.05,"15,000","450,700",12,30.1,2,30.2,5,"18,000,000",30.1,33.1,27.1
6629,泰金-KY,64.2,0.6,64.4,65,63.8,64.27,"32,213","2,070,422",33,63.4,1,64.3,6,"35,530,000",64.2,70.6,57.8
6640,均華,70.9,-0.1,71.5,71.5,70.5,70.92,"75,100","5,326,100",62,70.9,4,71.1,1,"28,276,500",70.9,77.9,63.9
6642,富致,51.7,4.65,51,51.7,50,51.53,"596,206","30,721,650",250,51.7,135,0,0,"31,399,662",51.7,56.8,46.55
6643,M31,331,-12,345,345,330,334.76,"597,208","199,921,852",647,331,22,331.5,1,"31,318,000",331,364,298
6649,台生材,28.75,0.75,27.95,28.75,27.8,27.97,"9,004","251,866",9,27.85,3,28.8,2,"33,000,000",28.75,31.6,25.9
6651,全宇昕,87,0,86.2,88.6,84.3,86.62,"1,136,864","98,471,717",886,86.7,3,87.4,1,"32,602,989",87,95.7,78.3
6654,天正國際,63,0.5,62.6,63.3,62.6,63.03,"61,003","3,845,089",47,63,2,63.1,1,"33,262,720",63,69.3,56.7
6661,威健生技,27.05,-0.35,27.3,27.4,27,27.19,"176,000","4,786,200",110,27.05,2,27.45,2,"23,304,248",27.05,29.75,24.35
6662,樂斯科,34.55,-0.15,34.75,35,34.5,34.63,"16,000","554,000",12,34.55,7,34.9,1,"25,612,400",34.55,38,31.1
6664,群翊,63.7,0.4,63.4,63.9,63.3,63.51,"49,005","3,112,320",45,63.7,2,63.8,3,"55,000,000",63.7,70,57.4
6667,信紘科,61.6,0,62.7,62.8,61.4,61.97,"66,370","4,113,018",64,61.6,3,61.9,2,"39,778,878",61.6,67.7,55.5
6679,鈺太,250.5,-3,255,258,250.5,252.87,"480,418","121,481,099",468,250,31,250.5,1,"41,831,335",250.5,275.5,225.5
6680,鑫創電子, ---,--- ,---,---,---,60.42,0,0,0,60,1,62.6,1,"18,550,000",60.1,66.1,54.1
6683,雍智科技,322,1,324,327,317,321.38,"401,965","129,181,803",446,321.5,4,322,4,"27,075,661",322,354,290
6690,安碁資訊,126,2.5,123.5,126,123.5,124.56,"49,325","6,143,926",45,125.5,4,126,1,"16,666,392",126,138.5,113.5
6697,東捷資訊,40.5,1,39.5,41,39.5,40.54,"85,045","3,448,132",65,40.45,2,40.5,2,"27,323,364",40.5,44.55,36.45
6703,軒郁,108,-0.5,111.5,111.5,108,108.78,"17,863","1,943,133",36,108,5,109,1,"20,800,000",108,118.5,97.2
6712,長聖,245,-5,249.5,251.5,245,247.49,"754,978","186,846,209",759,245,19,245.5,1,"61,608,500",245,269.5,220.5
6716,應廣,69.9,-0.8,70.7,71,69.9,70.4,"41,000","2,886,600",35,69.9,1,70.5,1,"22,294,000",69.9,76.8,63
6727,亞泰金屬,49.05,-0.35,49.8,49.95,49.05,49.48,"46,000","2,276,300",40,49.05,4,49.9,3,"21,000,125",49.05,53.9,44.15
6728,上洋,57.3,5.2,55,57.3,51.8,55.8,"333,218","18,593,090",177,57.3,182,0,0,"23,000,000",57.3,63,51.6
6732,昇佳電子,723,1,732,735,720,725.43,"223,936","162,448,821",311,723,8,724,1,"48,912,618",723,795,651
6733,博晟生醫,28.4,-0.4,28.85,28.85,28.3,28.43,"251,669","7,154,698",195,28.35,14,28.45,4,"101,630,000",28.4,31.2,25.6
6747,亨泰光,189.5,8,187,199,182,190.36,"471,810","89,813,274",473,189,16,190,2,"24,189,000",189.5,208,171
6751,智聯服務,71.1,-0.9,72,72,71.1,71.42,"16,100","1,149,880",16,71,3,71.1,1,"13,030,000",71.1,78.2,64
6752,叡揚,59.3,-0.2,59.3,59.3,59.1,59.22,"20,000","1,184,300",18,59.1,1,59.8,1,"26,700,000",59.3,65.2,53.4
6762,達亞,266.5,0.5,266.5,266.5,265,265.64,"18,036","4,791,079",19,265,4,266.5,1,"20,744,584",266.5,293,240
6767,台微醫,35.65,3.2,32.5,35.65,32.5,35.09,"393,289","13,799,749",282,35.55,1,35.65,27,"29,109,000",35.65,39.2,32.1
6803,崑鼎,215,0.5,214.5,215,214.5,214.75,"26,945","5,786,393",171,214.5,3,215,5,"69,028,564",215,236.5,193.5
7402,邑錡,29.85,1.7,28.95,29.9,28.5,28.81,"25,000","720,350",16,28.55,1,29.85,2,"23,669,379",29.85,32.8,26.9
7556,意德士,134,-4,137,139,134,135.79,"253,446","34,414,798",241,133.5,7,135.5,3,"21,386,000",134,147,121
8024,佑華,20.8,-0.2,21.25,21.7,20.45,21.03,"2,052,440","43,169,244",903,20.8,10,20.85,5,"45,160,100",20.8,22.85,18.75
8027,鈦昇,81.1,-2.3,83.5,84,81.1,82.55,"652,612","53,871,494",447,81.1,1,81.2,4,"85,431,363",81.1,89.2,73
8032,光菱,21.95,0.2,22.4,22.4,21.9,21.93,"23,295","510,934",14,21.9,5,21.95,3,"51,810,300",21.95,24.1,19.8
8034,榮群,16.7,-0.15,17.2,17.2,16.7,16.79,"432,049","7,253,470",223,16.7,12,16.75,5,"62,873,725",16.7,18.35,15.05
8038,長園科,32.6,-0.3,33.1,33.55,32.3,32.84,"79,782","2,619,830",81,32.5,5,32.6,1,"59,814,190",32.6,35.85,29.35
8040,九暘,22,0,22.15,23.5,22,22.45,"3,685,437","82,749,037","1,725",22,318,22.05,10,"68,546,074",22,24.2,19.8
8042,金山電,42.1,-0.3,42.5,42.55,42.1,42.35,"141,002","5,971,306",117,42.1,1,42.3,3,"125,691,795",42.1,46.3,37.9
8043,蜜望實,30.7,2.55,29.1,30.9,28.8,30.07,"3,010,132","90,499,678","2,027",30.65,1,30.75,46,"79,907,170",30.7,33.75,27.65
8044,網家,81.8,-1,83,83.3,81.8,82.52,"873,017","72,041,165",763,81.8,2,81.9,2,"118,259,446",81.8,89.9,73.7
8047,星雲,11.35,0.1,11.35,11.35,11.05,11.21,"19,100","214,030",16,11.1,3,11.3,2,"41,666,343",11.35,12.45,10.25
8048,德勝,30.75,1.6,29.1,32,29.05,29.59,"95,106","2,813,981",68,30.5,2,30.75,1,"52,886,938",30.75,33.8,27.7
8049,晶采,20.6,0,20.65,20.8,20.5,20.62,"299,678","6,179,347",193,20.6,48,20.7,34,"118,279,808",20.6,22.65,18.55
8050,廣積,34.65,-0.2,34.8,34.85,34.65,34.75,"124,940","4,341,196",110,34.65,7,34.7,3,"177,099,773",34.65,38.1,31.2
8054,安國,25.35,0.15,24.8,26.15,24.8,25.5,"6,410,593","163,492,742","2,846",25.35,24,25.5,1,"70,655,286",25.35,27.85,22.85
8059,凱碩,10.8,-0.15,10.9,11,10.7,10.85,"78,025","846,850",48,10.75,2,10.8,4,"188,618,000",10.8,11.85,9.72
8064,東捷,14.65,-0.2,14.95,14.95,14.6,14.71,"450,160","6,620,136",263,14.65,1,14.7,5,"164,817,836",14.65,16.1,13.2
8066,來思達,47.95,-0.15,47.55,48,47.4,47.7,"87,050","4,152,019",91,47.95,1,48,9,"30,152,304",47.95,52.7,43.2
8067,志旭,8.44,-0.55,8.55,8.55,8.44,8.48,"8,019","67,978",18,8.49,1,8.9,1,"30,000,000",8.44,9.28,7.6
8068,全達,23.3,0.4,22.5,23.3,22.5,22.65,"6,052","137,048",14,22.45,1,23.25,1,"68,659,992",23.3,25.6,21
8069,元太,48.05,-0.45,48.5,48.75,47.7,48.1,"7,378,161","354,881,149","4,261",48.05,54,48.1,9,"1,140,467,715",48.05,52.8,43.25
8071,能率網通,11.55,0.1,11.45,11.7,11.45,11.53,"38,000","438,150",25,11.55,1,11.6,11,"51,854,283",11.55,12.7,10.4
8074,鉅橡,17.1,0.05,17,17.1,16.9,17.01,"56,005","952,683",38,17.05,1,17.1,5,"87,124,466",17.1,18.8,15.4
8076,伍豐,27.3,0,27.55,27.6,27.2,27.29,"347,853","9,493,799",264,27.25,4,27.3,10,"277,531,538",27.3,30,24.6
8077,洛碁,8.99,0.18,8.8,8.99,8.8,8.82,"23,000","202,940",7,8.99,1,9,1,"109,728,343",8.99,9.88,8.1
8080,永利聯合,10.55,0.05,10.8,10.95,10.5,10.68,"48,452","517,338",62,10.5,10,10.8,7,"40,316,642",10.55,11.6,9.5
8083,瑞穎,188,1,188,188,187,187.71,"37,264","6,994,927",35,187.5,2,188.5,11,"35,133,193",188,206.5,169.5
8084,巨虹,78,2.3,76,78,76,77.34,"295,025","22,816,080",173,77.8,1,78,21,"69,514,149",78,85.8,70.2
8085,福華,8.28,0.36,7.94,8.28,7.9,8.09,"1,270,859","10,277,375",340,8.09,2,8.28,39,"157,257,242",8.28,9.1,7.46
8086,宏捷科,156,-3.5,159.5,161.5,156,157.74,"5,902,262","931,034,356","4,857",156,33,156.5,11,"199,716,123",156,171.5,140.5
8087,華鎂鑫,21.15,1.9,21.1,21.15,19.7,20.91,"1,016,697","21,260,406",480,21.1,1,21.15,41,"29,068,965",21.15,23.25,19.05
8088,品安,29.45,0.95,28.8,29.45,28.55,29.09,"1,299,978","37,815,283",598,29.4,14,29.45,35,"60,921,749",29.45,32.35,26.55
8089,康全電訊,39.8,0,40.3,40.75,39.8,40.11,"158,176","6,345,161",137,39.8,3,39.85,1,"56,384,627",39.8,43.75,35.85
8091,翔名,68.2,0.9,67.5,68.2,67.3,67.77,"68,531","4,644,020",70,68,13,68.2,2,"45,201,614",68.2,75,61.4
8092,建暐,8.94,0.04,9.18,9.18,8.86,9,"108,819","979,577",51,8.86,1,8.95,2,"38,850,616",8.94,9.83,8.05
8093,保銳,10,0.13,10.05,10.05,9.9,9.96,"132,000","1,314,500",73,9.93,1,10,4,"64,208,493",10,11,9
8096,擎亞,12.3,0.1,12.25,12.35,12.2,12.27,"467,942","5,741,912",212,12.25,2,12.3,10,"142,416,429",12.3,13.5,11.1
8097,常珵,14.55,0,14.35,14.55,14,14.2,"570,635","8,102,537",49,14.25,1,14.4,1,"30,674,306",14.55,16,13.1
8099,大世科,24.35,0,24.4,24.7,24.3,24.47,"95,162","2,328,488",65,24.3,21,24.4,1,"88,560,000",24.35,26.75,21.95
8107,大億金茂,19.5,-0.1,19.6,19.95,19.5,19.68,"80,345","1,581,308",71,19.5,8,19.65,5,"75,000,000",19.5,21.45,17.55
8109,博大,68.9,0.2,68.7,69,68.6,68.86,"32,779","2,257,066",36,68.9,6,69,9,"72,609,404",68.9,75.7,62.1
8111,立碁,16.05,0.05,16.15,16.3,16.05,16.18,"834,355","13,502,686",384,16.05,52,16.1,6,"109,102,223",16.05,17.65,14.45
8121,越峰,16,-0.15,16.25,16.5,16,16.11,"683,441","11,007,818",332,16,46,16.1,2,"182,993,743",16,17.6,14.4
8147,正淩,43.45,0.3,43.3,43.45,42.85,43.12,"44,643","1,925,124",36,43.2,1,43.5,3,"30,527,656",43.45,47.75,39.15
8155,博智,112,1.5,111.5,112,110,110.68,"245,970","27,224,285",211,111,12,112,12,"49,756,000",112,123,101
8171,天宇,45.75,3,43,46.5,43,45.26,"1,839,594","83,255,559","1,150",45.7,12,45.75,4,"50,723,230",45.75,50.3,41.2
8176,智捷,8.8,0,8.77,8.88,8.72,8.78,"25,030","219,750",80,8.74,5,8.88,2,"72,500,000",8.8,9.68,7.92
8182,加高,27.7,0.55,27.05,27.75,27.05,27.48,"280,000","7,693,400",182,27.6,6,27.7,2,"107,041,215",27.7,30.45,24.95
8183,精星,23.8,-0.9,24.45,24.9,23.8,24.36,"5,976,176","145,550,998","2,949",23.75,39,23.8,36,"121,251,068",23.8,26.15,21.45
8234,新漢,24.9,0.1,25,25,24.8,24.87,"58,000","1,442,650",41,24.9,7,24.95,1,"141,226,472",24.9,27.35,22.45
8240,華宏,32.7,0.3,32.5,32.75,32.45,32.57,"145,677","4,745,096",123,32.7,5,32.75,7,"100,004,414",32.7,35.95,29.45
8255,朋程,114.5,0,115.5,115.5,112.5,114.12,"469,508","53,580,401",375,114.5,32,115,21,"91,483,000",114.5,125.5,103.5
8277,商丞,9.85,-0.13,10,10.05,9.85,9.94,"573,769","5,700,647",252,9.84,4,9.85,9,"91,628,833",9.85,10.8,8.87
8279,生展,102,2,100,102.5,100,101.43,"32,125","3,258,287",32,101.5,1,102.5,4,"27,100,851",102,112,91.8
8284,三竹,47.65,0.05,47.7,47.8,47.6,47.77,"27,100","1,294,515",9,47.7,1,47.8,2,"46,342,000",47.65,52.4,42.9
8289,泰藝,11.45,-0.15,11.6,11.6,11.4,11.49,"123,000","1,412,800",45,11.45,3,11.5,16,"68,333,765",11.45,12.55,10.35
8291,尚茂,9,0.1,9,9,8.8,8.97,"33,113","297,048",19,8.8,10,9,34,"38,012,000",9,9.9,8.1
8299,群聯,387,-0.5,390,391.5,386,388.53,"1,858,733","722,176,230","1,824",387,66,387.5,15,"197,073,993",387,425.5,348.5
8342,益張,53,0,52.7,53,52.7,52.76,"14,070","742,333",14,52.7,2,53,5,"33,536,692",53,58.3,47.7
8349,恒耀,68.8,0,69.6,69.6,68.5,68.8,"109,152","7,509,750",65,68.8,1,69,5,"116,384,687",68.8,75.6,62
8349A,恒耀甲特,44.45,0.1,44.4,44.45,44.4,44.38,"3,481","154,487",5,44.35,3,44.45,1,"10,000,000",44.45,48.85,40.05
8354,冠好,16,-0.2,16.1,16.15,16,16.05,"20,600","330,670",16,16,4,16.1,4,"78,532,263",16,17.6,14.4
8358,金居,57.9,3.9,54.5,59.4,54.4,57.68,"89,463,339","5,159,951,958","38,664",57.8,56,57.9,68,"252,588,000",57.9,63.6,52.2
8383,千附,38.45,-0.3,38.75,38.8,38.4,38.46,"202,907","7,803,406",139,38.4,31,38.5,1,"118,192,482",38.45,42.25,34.65
8390,金益鼎,28.95,0.05,28.95,29.25,28.8,29,"659,790","19,132,718",278,28.95,1,29,6,"116,182,850",28.95,31.8,26.1
8401,白紗科,12.9,-0.15,13.25,13.25,12.8,12.97,"216,667","2,810,339",108,12.9,11,13.05,3,"60,041,680",12.9,14.15,11.65
8403,盛弘,30.9,-0.1,31.15,31.15,30.9,30.96,"389,412","12,055,918",276,30.9,20,31,33,"108,863,598",30.9,33.95,27.85
8406,金可-KY,140,2,142,143,138.5,141.02,"867,869","122,389,030",780,140,7,140.5,4,"97,072,996",140,154,126
8409,商之器,18.2,0.2,18,18.2,17.9,17.99,"27,512","494,964",30,18,1,18.3,1,"28,000,000",18.2,20,16.4
8410,森田,44.05,0.75,43.3,44.5,43.3,44.13,"254,250","11,220,600",212,44.05,6,44.2,1,"36,589,200",44.05,48.45,39.65
8415,大國鋼,25.6,0,25.6,25.65,25.4,25.57,"200,000","5,114,850",132,25.6,2,25.65,2,"1,031,500,000",25.6,28.15,23.05
8416,實威,123,0.5,123,123,122.5,122.77,"10,784","1,323,993",22,122.5,1,123.5,3,"28,210,710",123,135,111
8418,捷必勝-KY,10.3,-0.15,10.45,10.45,10.3,10.32,"13,001","134,210",7,10.2,6,10.3,20,"78,359,000",10.3,11.3,9.27
8420,明揚,27.2,-0.45,27.2,27.6,26.8,27,"85,000","2,295,250",36,26.8,1,27.1,1,"50,990,000",27.2,29.9,24.5
8421,旭源,9.14,-0.03,9.3,9.3,9.14,9.18,"24,246","222,522",70,9.14,3,9.25,3,"54,817,140",9.14,10.05,8.23
8423,保綠-KY,16.4,-0.05,16.75,16.75,16.4,16.58,"2,100","34,819",4,16.2,1,16.5,2,"22,958,000",16.4,18,14.8
8424,惠普,51.3,0.3,51.3,51.4,50.5,50.96,"91,007","4,638,058",40,51.3,2,51.4,4,"36,054,368",51.3,56.4,46.2
8426,紅木-KY,13,0.65,12.95,13.55,12.85,13.18,"250,734","3,303,722",165,13,11,13.15,1,"50,242,500",13,14.3,11.7
8431,匯鑽科,59.2,1.1,58,59.3,57.4,58.43,"157,010","9,173,387",122,59,1,59.2,14,"44,455,482",59.2,65.1,53.3
8432,東生華,58.5,0.6,58.7,58.9,58.2,58.59,"191,715","11,231,701",93,58.3,1,58.6,2,"38,398,140",58.5,64.3,52.7
8433,弘帆,41,0.7,40.3,41,40.1,40.36,"35,000","1,412,450",27,40.1,6,41,3,"52,081,600",41,45.1,36.9
8435,鉅邁,50.3,0.2,50.2,50.3,50.2,50.22,"29,650","1,488,962",29,50.2,6,50.3,3,"31,700,450",50.3,55.3,45.3
8436,大江,195,-2,197.5,199.5,194,195.49,"785,607","153,579,374",804,194.5,7,195.5,3,"118,226,169",195,214.5,175.5
8437,大地-KY,147.5,-0.5,148,150,147,148.49,"91,651","13,609,459",471,147.5,2,148,1,"47,851,070",147.5,162,133
8440,綠電,14.75,-0.15,14.85,14.85,14.5,14.68,"101,000","1,482,500",62,14.75,3,14.8,3,"38,000,225",14.75,16.2,13.3
8444,綠河-KY,66,0,66,67.5,66,66.6,"20,000","1,331,900",13,66,2,66.4,4,"84,766,845",66,72.6,59.4
8446,華研,101.5,1,100.5,101.5,100.5,100.94,"59,614","6,017,317",64,100.5,4,101,2,"52,914,405",101.5,111.5,91.4
8450,霹靂,22.5,0,22.85,22.85,22.5,22.56,"6,400","144,395",8,22.5,1,22.55,2,"51,309,947",22.5,24.75,20.25
8455,大拓-KY,18.5,0.2,18.5,18.5,18.5,18.5,"1,000","18,500",1,18,1,18.5,1,"25,219,056",18.5,20.35,16.65
8472,夠麻吉,67,0.7,65,67.9,65,66.02,"32,020","2,113,826",24,65,1,66.9,1,"17,735,800",67,73.7,60.3
8476,台境,20.6,-0.1,20.55,20.7,20.55,20.66,"18,567","383,637",20,20.6,1,20.7,1,"60,510,337",20.6,22.65,18.55
8477,創業家,33.3,0.1,33.6,33.6,33,33.16,"50,437","1,672,585",50,32.95,1,33.45,2,"24,961,114",33.3,36.6,30
8489,三貝德,48.3,-0.2,48.7,49.15,48.3,48.56,"90,017","4,371,132",67,48.3,6,48.55,1,"37,752,414",48.3,53.1,43.5
8905,裕國,14.2,-0.15,14.3,14.35,14.2,14.25,"59,476","847,407",71,14.2,13,14.3,1,"119,440,000",14.2,15.6,12.8
8906,花王,16.5,0,16.7,16.7,16.5,16.51,"15,135","249,927",9,16.5,1,17.2,2,"34,037,370",16.5,18.15,14.85
8908,欣雄,51,0.3,50.8,51,50.7,50.85,"13,718","697,528",23,50.8,1,51,3,"200,078,093",51,56.1,45.9
8916,光隆,38.7,0.25,38.5,38.75,38.3,38.5,"113,009","4,350,600",69,38.4,3,38.7,3,"131,062,331",38.7,42.55,34.85
8916A,光隆甲特,50.1,-0.1,50,50.1,50,50.02,"18,000","900,300",13,50,5,50.1,14,"18,200,000",50.1,55.1,45.1
8917,欣泰,69.6,0.6,69.2,69.6,69.2,69.3,"8,041","557,268",5,67.2,1,70,2,"134,423,520",69.6,76.5,62.7
8921,沈氏, ---,--- ,---,---,---,13.05,0,0,0,13.6,1,13.9,11,"46,592,159",13.9,15.25,12.55
8923,時報, ---,--- ,---,---,---,14,4,56,4,14.9,2,15,4,"30,375,800",14.9,16.35,13.45
8924,大田,66.1,0.3,67.4,67.7,65.1,66.44,"4,224,402","280,677,505","2,847",66,40,66.1,18,"83,800,000",66.1,72.7,59.5
8927,北基,19.05,0.1,18.95,19.15,18.7,18.97,"567,223","10,758,865",208,19.05,3,19.1,19,"191,833,166",19.05,20.95,17.15
8928,鉅明,29.25,0.05,29.55,29.55,29.15,29.36,"104,128","3,057,701",52,29.2,2,29.25,7,"50,854,015",29.25,32.15,26.35
8929,富堡,20.3,0,20.3,20.35,20.15,20.24,"30,793","623,290",85,20.15,4,20.35,1,"50,580,862",20.3,22.3,18.3
8930,青鋼,13.6,0,13.7,13.7,13.5,13.57,"31,778","431,171",23,13.6,5,13.65,5,"80,669,406",13.6,14.95,12.25
8931,大汽電,29.85,-0.15,29.95,29.95,29.85,29.87,"28,118","840,017",28,29.85,1,29.9,6,"122,254,862",29.85,32.8,26.9
8932,宏大,17.7,-0.15,17.65,17.7,17.3,17.47,"561,000","9,798,700",178,17.7,24,17.75,10,"48,800,000",17.7,19.45,15.95
8933,愛地雅,10.8,-0.05,10.9,11.1,10.8,10.9,"797,111","8,691,004",327,10.8,33,10.9,9,"243,278,711",10.8,11.85,9.72
8935,邦泰,7.85,0,7.85,7.86,7.76,7.85,"65,264","512,312",27,7.84,5,7.85,10,"84,300,000",7.85,8.63,7.07
8936,國統,22.3,0,22.3,22.7,22.15,22.35,"984,903","22,017,238",515,22.3,5,22.35,33,"248,078,157",22.3,24.5,20.1
